X,Y,month,day,temp (F),RH (%),wind (mph),area
2,2,aug,tue,71.24,56,1.926662523,0.52
7,4,sep,fri,59.36,64,1.926662523,0.52
8,6,aug,mon,80.24,35,0.807955252,0.54
1,2,aug,wed,73.94,31,2.796768179,0.55
8,6,aug,fri,70.16,51,5.531385954,0.61
8,5,aug,wed,80.24,25,1.926662523,0.68
4,3,aug,sat,70.52,44,1.678060907,0.68
1,2,jul,sat,61.88,53,3.356121815,0.71
1,3,sep,sat,72.14,48,2.486016159,0.72
2,4,aug,wed,69.26,70,1.367308888,0.75
3,4,aug,sun,80.24,38,3.915475451,0.76
2,5,aug,wed,74.84,32,3.356121815,0.77
4,4,aug,tue,71.78,54,4.723430702,0.79
6,5,aug,thu,81.32,22,2.486016159,0.9
6,4,jun,sun,57.74,46,1.118707272,0.9
5,4,mar,mon,55.76,40,3.356121815,0.95
8,3,sep,tue,75.56,28,2.237414543,0.96
6,5,sep,thu,62.24,28,2.486016159,1.01
2,2,aug,tue,63.32,43,4.164077067,1.07
6,5,sep,fri,65.12,42,1.367308888,1.09
3,4,feb,wed,47.84,35,1.926662523,1.1
8,6,sep,thu,74.66,25,2.796768179,1.12
6,5,jun,fri,73.76,39,3.356121815,1.19
8,6,aug,mon,77.9,29,1.118707272,1.23
4,4,sep,fri,69.44,35,3.045369795,1.26
3,4,aug,sun,74.12,40,3.604723431,1.29
9,9,jul,sun,76.64,29,1.367308888,1.36
7,4,aug,sat,74.66,40,1.118707272,1.38
3,4,jul,sat,76.28,43,1.118707272,1.43
5,4,sep,fri,68.18,47,3.045369795,1.46
1,5,sep,sat,85.28,27,1.678060907,1.46
2,4,sep,mon,68.72,41,1.118707272,1.47
7,4,aug,thu,70.52,38,1.678060907,1.52
7,4,aug,sun,61.52,47,0.807955252,1.56
6,3,aug,fri,66.74,39,2.237414543,1.56
4,4,sep,wed,67.46,41,1.118707272,1.58
2,4,sep,sat,83.48,27,1.367308888,1.61
2,2,aug,wed,65.12,45,2.237414543,1.63
9,4,jul,mon,73.04,27,2.796768179,1.63
2,4,aug,wed,68.9,35,2.486016159,1.64
5,4,sep,fri,55.04,64,2.237414543,1.64
7,4,sep,fri,66.2,34,3.604723431,1.69
7,4,sep,fri,67.64,47,1.678060907,1.72
7,4,mar,mon,60.98,29,1.926662523,1.75
4,5,sep,tue,60.62,38,3.356121815,1.75
4,3,jul,thu,80.96,28,0.807955252,1.76
6,4,aug,thu,68.54,41,2.486016159,1.9
6,3,mar,sat,59.36,31,5.282784338,1.94
7,4,aug,sat,59.9,72,4.972032318,1.94
8,3,jun,mon,57.74,79,2.486016159,1.94
8,6,sep,sat,64.04,56,1.118707272,1.95
2,4,aug,wed,84.56,30,3.045369795,1.95
5,4,aug,tue,75.38,43,3.915475451,2
8,5,sep,sun,64.04,67,1.367308888,2.01
7,4,sep,fri,69.08,43,2.237414543,2.03
2,4,aug,mon,87.08,28,2.237414543,2.07
1,4,sep,mon,64.58,54,1.926662523,2.13
6,5,mar,thu,41.54,70,2.796768179,2.14
6,4,feb,tue,41.18,77,3.356121815,2.14
5,4,aug,fri,69.98,71,4.723430702,2.17
3,5,sep,thu,55.22,39,1.678060907,2.18
8,6,sep,mon,60.62,51,2.796768179,2.18
7,4,jul,sun,64.76,82,2.796768179,2.21
6,5,aug,wed,61.88,47,0.559353636,2.29
2,4,aug,mon,82.22,33,1.367308888,2.35
2,4,aug,sun,76.82,42,3.356121815,2.44
3,4,aug,wed,71.06,40,0.248601616,2.47
6,5,aug,wed,74.12,33,2.796768179,2.51
6,5,mar,fri,58.28,26,5.842137974,2.53
8,6,aug,thu,69.26,45,1.367308888,2.55
5,4,sep,wed,71.42,35,1.118707272,2.57
4,5,jul,fri,73.22,40,0.807955252,2.64
8,6,aug,wed,63.32,50,2.486016159,2.69
7,4,aug,sun,68.18,39,3.356121815,2.74
9,9,jul,thu,86.36,25,2.796768179,2.75
4,5,aug,mon,90.68,26,1.926662523,2.77
2,4,aug,sun,72.32,54,4.723430702,2.87
4,3,sep,tue,60.62,53,1.367308888,2.93
2,5,aug,sun,76.64,36,2.486016159,3.05
4,4,sep,mon,63.86,39,1.367308888,3.07
2,5,aug,tue,68.36,47,2.486016159,3.09
6,5,mar,mon,50.36,45,3.604723431,3.18
2,5,jun,thu,72.86,40,5.842137974,3.19
3,4,aug,sun,76.28,44,2.486016159,3.2
3,4,aug,fri,52.16,84,4.723430702,3.3
8,6,aug,sat,66.02,64,3.045369795,3.32
4,3,sep,sat,74.3,27,2.486016159,3.33
6,5,apr,mon,51.62,64,1.926662523,3.35
1,4,aug,sat,57.56,53,1.118707272,3.5
6,5,jun,mon,66.38,39,3.356121815,3.52
5,6,aug,sun,75.74,33,2.237414543,3.63
4,3,sep,sun,68.72,55,3.045369795,3.64
5,4,sep,fri,50.18,75,2.237414543,3.71
1,4,sep,sun,58.1,76,4.723430702,3.71
4,4,sep,thu,66.56,24,3.045369795,3.78
2,5,sep,mon,66.74,44,1.367308888,3.93
4,3,sep,fri,63.14,45,2.486016159,3.94
6,5,sep,sat,62.6,67,3.045369795,3.95
2,4,aug,fri,70.52,42,1.926662523,4.25
4,4,aug,tue,66.38,53,1.678060907,4.4
5,4,sep,thu,70.88,28,3.915475451,4.41
6,5,sep,thu,56.66,56,1.118707272,4.42
1,4,aug,sat,68.54,39,3.045369795,4.53
6,5,apr,thu,42.44,54,3.604723431,4.61
7,4,feb,fri,46.76,53,5.842137974,4.62
2,5,aug,sun,66.56,44,1.678060907,4.69
2,5,sep,wed,64.94,45,1.367308888,4.88
3,4,sep,thu,73.04,46,2.486016159,4.95
8,6,aug,sat,80.42,31,2.237414543,4.96
3,4,sep,sun,74.84,35,2.237414543,5.18
8,6,aug,tue,57.92,66,3.356121815,5.23
1,3,sep,sun,75.02,32,4.164077067,5.33
4,6,dec,thu,41.18,61,3.045369795,5.38
6,5,feb,tue,40.28,82,3.915475451,5.39
8,6,oct,mon,66.38,32,2.486016159,5.44
3,4,mar,wed,52.16,41,3.356121815,5.55
6,5,sep,tue,69.98,35,1.678060907,5.65
1,2,aug,thu,80.06,35,1.118707272,5.8
2,2,sep,mon,62.24,43,1.926662523,5.83
8,6,aug,wed,82.76,29,1.118707272,5.86
7,4,sep,fri,65.66,50,1.367308888,5.97
2,4,sep,wed,71.24,34,1.367308888,6.04
6,3,sep,mon,53.96,66,3.045369795,6.1
8,6,jul,sun,84.74,27,2.237414543,6.3
1,3,aug,sat,73.94,40,2.486016159,6.36
5,4,feb,sun,54.32,53,1.367308888,6.38
2,5,aug,sat,74.48,53,2.486016159,6.43
4,5,aug,wed,74.12,49,3.356121815,6.43
4,3,aug,sun,82.04,32,1.678060907,6.44
4,4,aug,fri,71.24,53,1.926662523,6.54
8,6,jul,tue,62.78,67,2.237414543,6.57
3,3,sep,sat,75.56,27,1.926662523,6.58
6,5,mar,thu,55.94,27,2.237414543,6.61
7,4,oct,mon,62.24,45,2.796768179,6.83
2,2,feb,sat,40.28,59,0.559353636,6.84
8,6,aug,fri,69.44,34,3.045369795,6.96
6,3,jul,tue,79.34,39,1.926662523,7.02
2,5,sep,tue,63.68,46,1.926662523,7.04
8,6,mar,sun,52.7,39,3.604723431,7.19
1,4,sep,thu,62.24,28,2.486016159,7.21
1,5,sep,mon,69.8,42,1.367308888,7.3
4,4,sep,fri,59.72,53,3.915475451,7.31
4,3,jul,sun,78.98,45,2.486016159,7.36
6,4,mar,sat,55.94,42,0.559353636,7.4
8,6,sep,mon,72.86,35,1.367308888,7.48
5,4,jul,wed,66.74,39,4.474829086,7.73
4,3,sep,fri,67.82,44,1.926662523,7.8
9,4,jul,sat,77.54,39,0.559353636,8
8,6,aug,sat,75.02,41,1.367308888,8.02
1,4,sep,fri,69.98,39,1.367308888,8.12
